'di	d i
gabay	g a b ay
gabi	g a b i
gabi-gabi	g a b i q g a b i
gabing	g a b i ng
gabok	g a b o k
gabriel	g a p r i y e l
gabriela	g a p r i y e l a
gaga-gaga	g a g a g a g a q
gagaling	g a g a l i ng
gagamit	g a g q a m i t
gagamitin	g a g q a m i t i n
gagastos	g a g a s t o s
gagawin	g a g a w i n
gal	g a l
galactose	g a l a k t o s e
galactosemia	g a l a k t o s e m i y a
galang	g a l a ng
galang-galang	g a l a ng q g a l a ng
galang-galangan	g a l a ng q g a l a ng a n
galera	g a l e r a
galing	g a l i ng
galit	g a l i t
galleria	g a l er i y a
gamay	g a m ay
gamit	g a m i t
gamit-gamit	g a m i t q g a m i t
gamitin	g a m i t i n
gamot	g a m o t
gamugamo	g a m u g a m o
gamugamong	g a m u g a m o ng
gamutin	g a m u t i n
gan-on	g a n q o n
ganang	g a n a ng
ganap	g a n a p
ganda	g a n d a
gandahan	g a n d a h a n
gang	g a ng
ganid	g a n i d
ganito	g a n i t o
ganitong	g a n i t o ng
ganoon	g a n o n
ganoong	g a n o q o ng
ganti	g a n t i
gantimpala	g a n t i m p a l a
ganun	g a y u n
ganyang	g a ny a ng
garcia	g a er s i y a
garden	g a er d i n
garin	g a r i n
gas	g a s
gasolina	g a s u l i n a
gastusin	g a s t u s i n
gatas	g a t a s
gawa	g a w a
gawad	g a w a d
gawain	g a w a q i n
gawaing-dagat	g a w a q i ng d a g a t
gawin	g a w i n
gawing	g a w i ng
gaya	g a y a
gayo'y	g a y oy
gayon	g a y u n
gayong	g a y o ng
gayun	g a y u n
gayundin	g a y u n d i n
gayunman	g a y u n m a n
gdp	jh i d i p i
gen	jh e n
general	jh e n er a l
generation	jh e n e r ey sh uh n
generic	jh e n er i k
geraldine	jh e r a l d i n
german	jh e r m a n
gerontologist	jh e r u n t o l o jh e s t
gestational	jh e s t ey sh u n a l
gigisingin	g i g i s i ng i n
gilagid	g i l a g i d
gilas	g i l a s
gimik	g i m i k
ginagambala	g i n a g a m b a l a
ginagas	g i n a g a s
ginagawa	g i n a g a w a
ginamit	g i n a m i t
ginang	g i n a ng
ginastos	g i n a s t o s
ginawa	g i n a w a
ginebra	h i n i b r a
ginhawa	g i n h a w a
ginigiba	g i n i g i b a
ginisa	g i n i s a
ginoong	g i n o q o ng
ginto	g i n t o
gir	g e r
gising	g i s i ng
gitna	g i t n a
glaiza	g l a i z a
global	g l o b a l
globe	g l ow b
gloria	g l o r i y a
gma	g m a
gmatsing	g m a ch i ng
go-signal	g o q s i g n a l
gobyerno	g o b y e e r n o
goccs	jh i q ow s i s i s
gokongwei	g o k o ng w e i q
golf	g o l f
goma	g o m a
gonorrhea	g o n o r h e
good	g u q u d
gorilya	g o r i ly a
government	jh i q ow v er n m e n t
governonr	jh i q ow v er n o n r
governor	jh i q ow v er n o r
grace	g r ey s
grade	g r ey d
grand	g r a n d
greasy	g er i s i
green	g r i n
greenbelt	g r i n b e l t
grey	g r ey
gross	g er o s
growth	g r aw th
grupo	g r u p u
guam	g a m
gubat	g u b a t
guevara	g e v a er a
guguhitan	g u g u h i t a n
guhit	g u h i t
guided	g i jh d
guihulngan	g i h u d ng a n
guimaras	g i m a er a s
guinataan	g i n a t a q a n
guisado	g i s a d o
gulat	g u l a t
gulat-gulat	g u l a t q g u l a t
gulay	g u l ay
gulo	g u l o
gulong	g u l o ng
gulugod	g u l u g u d
gumagaan	g u m a g a q a n
gumagamit	g u m a g a m i t
gumaganap	g u m a g a n a p
gumaganda	g u m a g a n d a
gumagawa	g u m a g a w a
gumalaw-galaw	g u m a l aw q g a l aw
gumaling	g u m a l i ng
gumamit	g u m a m i t
gumanda	g u m a n d a
gumanti	g u m a n t i
gumapang	g u m a p a ng
gumawa	g u m a w a
gumising	g u m i s i ng
gumuhit	g u m u h i t
gumuwapo	g u m w a p o
gupitin	g u p i t i n
guro	g u r o
gusting	g u s t i ng
gusto	g u s t o
gustong	g u s t o ng
gustong-gusto	g u s t o ng q g u s t o
gutom	g u t u m
gutom-gutom	g u t o m q g u t u m
guzman	g u z m a n
ha	h a
haba	h a b a
haba-haba	h a b a h a b a
habagat	h a b a g a t
habang	h a b a ng
had	h a d
hagdan-hagdang	h a g d a n h a g d a ng
hagdanan	h a g d a n a n
hagibis	h a g i b i s
hahatiin	h a h a t i q i n
haka-haka	h a k a h a k a q
hakbang	h a k b a ng
hakbangin	h a k b a ng i n
hala	h a l a
halabos	h a l a b o s
halaga	h a l a g a
halagang	h a l a g a ng
halakhak	h a l a k h a k
halal	h a l a l
halalan	h a l a l a n
halaman	h a l a m a n
halamang-dagat	h a l a m a ng d a g a t
halaya	h a l a y a
halimbawa	h a l i m b a w a
halinghing	h a l i ng h i ng
halintularan	h a l i n t u l a r a n
halo	h a l o
halong	h a l o ng
halos	h a l o s
halumigmig	h a l u m i g m i
hamak	h a m a k
hamog	h a m o g
hamon	h a m o n
hamon-hamon	h a m o n h a m o n
hamonado	h a m o n a d o
hampas	h a m p a s
hanapin	h a n a p i n
handa	h a n d a q
handang	h a n d a ng
handog	h a n d o g
hangaan	h a ng g a q a n
hangang	h a ng g a ng
hangarin	h a ng a r i n
hangaring	h a ng a r i ng
hangga	h a ng g a
hangga't	h a ng g a t
hanggan	h a ng g a n
hanggang	h a ng g a ng
hangin	h a ng i n
hapdi	h a p t i q
hapo	h a p o
hapo-hapo	h a p o h a p u
hapon	h a p o n
hapon-hapon	h a p o n h a p u n
hapones	h a p o n e s
hapong	h a p o ng
hapunan	h a p u n a n
hapunan-hapunan	h a p u n a n h a p u n a n
harap	h a r a p
harapan	h a r a p a n
hari	h a r i
harina	h a r i n a
haring	h a r i ng
harold	h a r o l d
harrypotter	h a r i p a t e r
harvey	h a r v i
hatid-pangako	h a t i d p a ng a k o
hatiin	h a t i q i n
hatinggabi	h a t i ng g a b i
have	h a v
hawaii	h a w a q i i q
hawak	h a w a k
hay	h ay
hayaang	h a y a ng a ng
hayop	h a y u p
hazel	h a z e l
head	h e d
healthy	h e l th i
heart	h e er t
hepatitis	h ey p a t i t i s
hepe	h ey p i
heritage	h e r i t e jh
hesukristo	h e s u k r i s t o
heto	h e t o
hibashi	h i b a sh i
hibashi'y	h i b a sh i
higanteng	h i g a n t e ng
high	h ay
highlands	h ay l a n d s
higit	h i g i t
higpit	h i g p i t
hihintayin	h i h i n t a y i n
hikain	h i k a q i n
hikayat	h i k a y a t
hike	h i k
hila	h i l a
hilaga	h i l a g a
hilaw	h i l aw
hilig	h i l i g
hiling	h i l i ng
hills	h i l s
hilton	h i l t o n
himagsikan	h i m a g s i k a n
himaksikan	h i m a g s i k a n
himpapawid	h i m p a p a w i d
himutok	h i m u t o k
hinaan	h i n a q a n
hinagpis	h i n a g p i s
hinahamon	h i n a h a m o n
hinahanap	h i n a h a n a p
hinahangaan	h i n a h a ng a q a n
hinahawakan	h i n a h a w a k a n
hinaing	h i n a q i ng
hinalang	h i n a l a ng
hinampas	h i n a m p a s
hinanap	h i n a n a p
hinanapan	h i n a n a p a n
hinango	h i n a ng o
hinayang	h i n a y a ng
hinde	h i n d e
hindi	h i n d i q
hineteng	h i n e t i ng
hingang	h i ng a ng
hinigitan	h i n i g i t a n
hinihikayat	h i n i h i k a y a t
hinihiling	h i n i h i l i ng
hinihingal	h i n i h i ng a l
hinihingi	h i n i h i ng i q
hiniling	h i n i l i ng
hinimok	h i n i m o k
hiningal	h i n i ng a l
hinipo	h i n i p o
hiniram	h i n i r a m
hinlalaki	h i n l a l a k i
hinlalato	h i n l a l a t o
hinliliit	h i n l i l i q i t
hinog	h i n o g
hintayin	h i n t a y i n
hintuturo	h i n t u t u r o
hinuhuli	h i n u h u l i q
hinulugang	h i n u l u g a ng
hinurno	h i n u r n o
hipag	h i p a g
hirap	h i r a p
hirap-hirap	h i r a p h i r a p
hita	h i t a
hiv	h i v
hiya	h i y a
hk	h k
ho	h o
hoarding	h ow a er d i ng
hobby	h a b i
holdap	h ow l d a p
holdings	h ow l d i ng s
holiday	h a l i d ey
home	h o m e
hong	h o ng
hopia	h o p i y a
horizon	h o r ay z o n
hormonal	h o r m u n a l
hospitals	h o s p i t a l s
hotel	h ow t e l
hotmeal	h ow t m e a l
hour	h aw r
house	h aw s
housing	h aw s i ng
hovercraft	h a v er k r a f t
howard	h a w a er d
hoy	h oy
htwoo	h t w u
hudyat	h u jh a t
huhulihin	h u h u l i h i n
hukay	h u k ay
huli	h u l i q
huli-huli	h u l i h u l i q
huling	h u l i ng
hulyo	h u ly o q
humahamon	h u m a h a m o n
humalik	h u m a l i k
humanay	h u m a n ay
humanga	h u m a ng a
humataw	h u m a t aw
humawak	h u m a w a k
huminga	h u m i ng a
humingi	h u m i ng i q
hundred	h u n d r e d
hungkag	h u ng k a g
hunyo	h u n y o
husay	h u s ay
huwag	h u w a g
huwang	h u w a g
huwebes	h w e b e t
huweteng	h w e t i ng
hwag	h w a g
hyatt	h a y a t
hydro-gel	h y d r o jh e l
i	i
i-check	q i q ch e k
i-meet	q i q m i t
iayos	i q a y o s
iba	q i b a
iba't	q i b a t
iba't-ibang	q i b a t q i b a ng
ibabad	q i b a b a d
ibabang	q i b a b a ng
ibabaw	q i b a b aw
ibang	q i b a ng
ibayong	q i b a y o ng
ibibigay	q i b i b i g ay
ibig	q i b i g
ibigay	q i b i g ay
ibinaba	q i b i n a b a
ibinalita	q i b i n a l i t a q
ibinasura	q i b i n a s u r a
ibinibigay	q i b i n i b i g ay
ibinigay	q i b i n i g ay
ibinili	q i b i n i l i q
ibon	q i b o n
ibong	q i b o ng
icc	q i s i s i
ictsi	k t s i
id	i d
ideya	i d i a
ididiskwalipika	i d i d i s k w a l i p i k a
idila	i d i l a
idinagdag	i d i n a g d a g
idinaos	i d i n a q o s
ifc	i f s i
igalang	q i g a l a ng
igiit	i g i q i t
iginiit	i g i n i q i t
iginugugol	i g i n u g u g o l
ignacio	i g n a sh o
igugol	q i g u g o l
iguhit	q i g u h i t
igupo	q i g u p u
ihahayag	i h a h a y a g
ihanda	i h a n d a
ihi	q i h i q
ihinto	i h i n t o
iigi	q i q i g i
iinspeksyunin	i q i n s p e k sh u n a n
ika	q i k a
ika'y	q i k ay
ika-anim	i k a q a n i m
ika-apat	i k a q a p a t
ika-sandaang	q i k a s a n d a q a ng
ikaanim	q i k a q a n i m
ikaanimnapung	q i k a q a n i m n a p u ng
ikaapat	q i k a q a p a t
ikaapatnapung	q i k a q a p a t n a p u ng
ikabahala	q i k a b a h a l a
ikabubuhay	q i k a b u b u h ay
ikadalawampu	q i k a d a l a w a m p u
ikadalawampu't	q i k a d a l a w a m p u t
ikadalawampung	q i k a d a l a w a m p u ng
ikadalawang	q i k a d a l a w a ng
ikalabimpito	i k a l a b i m p i t o
ikalabimpitong	i k a l a b i m p i t o ng
ikalabindalawa	i k a l a b i n d a l a w a
ikalabindalawang	i k a l a b i n d a l a w a ng
ikalabing	i k a l a b i ng
ikalabing-anim	i k a l a b i ng q a n i m
ikalabing-apat	i k a l a b i ng q a p a t
ikalabing-isa	i k a l a b i ng q i s a
ikalabing-isang	i k a l a b i ng q i s a ng
ikalabingwalo	i k a l a b i ng w a l o
ikalabingwalong	i k a l a b i ng w a l o
ikalabinlima	i k a l a b i n l i m a
ikalabinlimang	i k a l a b i n l i m a ng
ikalabinsiyam	i k a l a b i n s i y a m
ikalabintatlo	i k a l a b i n t a t l o
ikalabintatlong	i k a l a b i n t a t l o ng
ikalawa	i k a l a w a
ikalawang	i k a l a w a ng
ikalima	i k a l i m a
ikalimampung	i k a l a m a m p u ng
ikalimang	i k a l i m a ng
ikamatay	q i k a m a t ay
ikapito	q i k a p i t o
ikapitong	q i k a p i t o ng
ikapitumpung	q i k a p i t u m p u ng
ikasampu	i k a s a m p u
ikasampung	i k a s a m p u ng
ikasiyam	i k a s i y a m
ikasiyamnapung	i k a sh a m n a p u ng
ikatatlo	q i k a t a t l o
ikatatlong	q i k a t a t l o ng
ikatatlumpu	q i k a t a t l u m p u
ikatatlumpu't	q i k a t a t l u m p u t
ikatatlumpung	q i k a t a t l u m p u ng
ikatlo	q i k a t l o
ikatlong	q i k a t l o ng
ikaw	q i k aw
ikaw'y	q i k ay
ikawalo	q i k a w a l o
ikawalong	q i k a w a l o ng
ikawalumpung	q i k a w a l u m p u ng
ikinabahala	q i k i n a b a h a l a
ikinabigla	q i k i n a b i g l a
ikinabubuhay	q i k i n a b u b u h ay
ikinagagalak	q i k i n a g a g a l a k
ikinalat	q i k i n a l a t
ikinalulugod	q i k i n a l u l u g u d
ikinalulungkot	q i k i n a l u l u ng k o t
ikinamatay	q i k i n a m a t ay
ikinapilay	q i k i n a p i l ay
ikinarapa	q i k i n a r a p a
ikinararangal	q i k i n a r a r a ng a l
ikinasugat	q i k i n a s u g a t
ikinatuwa	q i k i n a t u w a
ikinulong	q i k i n u l o ng
ikinuwento	q i k i n u w e n t o
ikukumpara	q i k u k u m p a r a
ikukuwento	q i k u k u w e n t o
ikulong	q i k u l o ng
ikuwento	q i k w e n t o
ilabas	q i l a b a s
ilagan	q i l a g a n
ilagay	q i l a g ay
ilakas	q i l a k a s
ilalaan	q i l a l a q a n
ilalagak	q i l a l a g a k
ilalim	q i l a l i m
ilan	q i l a n
ilang	q i l a ng
ilapit	q i l a p i t
ilarawan	q i l a r a w a n
ilaw	q i l aw
ilawang	q i l a w a ng
ilayo	q i l a y u q
ilocos	q i l o k o s
ilog	q i l o g
iloilo	q i l o q i l o
ilong	q i l o ng
ilulunsad	q i l u l u n s a d
iluluwa	q i l u l u w a
ilunsad	q i l u n s a d
imbalance	i m b a l a n s
imbalances	i m b a l a n s e s
imbes	i m b e s
iminulat	i n i m u l a t
iminungkahi	i m i n u ng k a h i q
iminungkahing	i m i n u ng k a h i ng
impeksyon	i m p e k sh o n
impormasyon	i m p o er m a sh o n
importanteng	i m p o r t a n t i ng
importasyon	i m p o r t a sh u n
imprastraktura	i m p r a s t r a k t u r a
imprastruktura	i m p r a s t r u k t u r a
imumulat	i m u m u l a t
in	q i n
ina	q i n a
inaabangan	q i n a q a b a ng a n
inaanak	q i n a q a n a k
inaani	q i n a q a n i
inaaral	q i n a q a r a l
inaaruga	q i n a q a r u g a q
inaasahan	q i n a q a s a h a n
inaasahang	q i n a q a s a h a ng
inadobo	q i n a d o b o
inalis	q i n a l i s
inamuki	q i n a m u k i
inang	q i n a ng
inanyayahan	q i n a ny a y a h a n
inaprubahan	q i n a p r u b a h a n
inatake	q i n a t a k
inatasan	q i n a t a s a n
inatawag	q i n a t a w a g
inay	q i n ay
inc	q i n k
incorporated	q i n k o er p er ey t d
independent	q i n d e p e n d e n t
index	q i n d e k s
india	q i n d i y a
indigenous	q i n d i jh e n aw s
indonesia	q i n d o n e s i y a
industrial	q i n d u s t r a y a er
industriya	q i n d u s t r i y a
industry	q i n d u s t r i
infection	q i n f e k sh uh n
inferiority	q i n f er i y o er i t i
inflation	q i n f l ey sh uh n
inflows	q i n f l ow s
infrastructure	q i n f er a s t r u k ch o er
ingat	i ng a t
ingatan	i ng a t a n
ingay	q i ng ay
inglatera	q i ng g l a t e r a
ingles	q i ng g l e s
iniabot	q i n i q a b u t
iniahon	q i n i q a h o n
inibig	q i n i b i g
inidoro	q i n i d o r o
inihahanda	q i n i h a h a n d a
inihalo't	q i n i h a l o t
inihaw	q i n i h aw
inihawa	q i n i h a w a
inihayag	q i n i h a y a g
iniingatang	q i n i i ng a t a ng
iniinom	q i n i q i n o m
inilaan	q i n i l a q a n
inilagak	q i n i l a g a k
inilalaan	q i n i l a l a q a n
inilathala	q i n i l a t h a l a
inilawan	q i n i l a w a n
inilubog	q i n i l o b u g
inilunsad	q i n i l u n s a d
ininom	q i n i n o m
inirekomenda	q i n e r e k o m e n d a
init	q i n i t
inn	q i n
insekto	q i n s e k t o
insidente	q i n s i d e n t i
insik	q i n ch i k
intercontinental	q i n t er k ao n t i n e n t a l
interes	q i n t er e s
interesadong	q i n t e er e s a d o ng
interest	q i n t er e s t
internal	q i n t er n a l
international	q i n t er n a sh u n a l
internet	q i n t er n e t
intindihin	q i n t i n d i h i n
intramuros	q i n t r a m u r o s
intsik	q i n ch i k
inumin	q i n u m i n
inutang	q i n u t a ng
inutusan	q i n u t u s a n
inuubo	q i n u q u b o
inuumang	q i n u q u m a ng
investment	i n v e s t m e n t
investments	i n v e s t m e n t s
investors	i n v e s t o er s
inyo	q i ny o
inyogn	q i ny o g n
inyong	q i ny o ng
ipaalam	q i p a q a l a m
ipagagalaw	q i p a g a g a l aw
ipagbebenta	q i p a g b e b e n t a
ipagbili	q i p a g b i l i q
ipaglaban	q i p a g l a b a n
ipagpag	q i p a g p a g
ipagpalit	q i p a g p a l i t
ipagpapatuloy	p i n a g p a p a t u l oy
ipagpaumanhin	q i p a g p a q u m a n h i n
ipahati	q i p a h a t i
ipahayag	q i p a h a y a g
ipakilala	q i p a k i l a l a
ipaliwanag	q i p a l i w a n a g
ipamimigay	q i p a m i m i g ay
ipangako	q i p a ng a k o q
ipapasok	q i p a p a s o k
ipapatayo	q i p a p a t a y o q
ipapautang	q i p a p a q u t a ng
iparating	q i p a r a t i ng
ipasa	q i p a s a
ipasok	q i p a s o k
ipatupad	q i p a t u p a d
ipikit	i p i k i t
ipinaalam	i p i n a a l a m
ipinadala	i p i n a d a l a
ipinagbabawal	i p i n a g b a b a w a l
ipinagmalaki	i p i n a g m a l a k i
ipinahayag	i p i n a h a y a g
ipinailalim	i p i n a q i l a l i m
ipinaliwanag	i p i n a l i w a n a g
ipinamalas	i p i n a m a l a s
ipinamalita	i p i n a m a l i t a
ipinamamalita	i p i n a m a m a l i t a
ipinangako	i p i n a ng a k o
ipinangakong	i p i n a ng a k o ng
ipinanganak	i p i n a ng a n a k
ipinanganyaya	i p i n a ng a ny a y a
ipinapadala	i p i n a p a d a l a
ipinapagawa	i p i n a p a g a w a
ipinapahid	i p i n a p a h i d
ipinapanganak	i p i n a p a ng a n a k
ipinapasa	i p i n a p a s a
ipinapatupad	i p i n a p a t u p a d
ipinatong	i p i n a t u ng
ipinukol	i p i n u k o l
ipitin	q i p i t i n
ipuipo	q i p o q i p o
ipupursigi	q i p u p u r s i g i
iput-iput	q i p o t q i p t
irene	q ay r i n
ireseta	q ay r i s e t a
irigasyon	i r i g a sh u n
iringan	i r i ng a n
isa	q i s a
isa't	q i s a t
isa'y	q i s ay
isa-isa	q i s a q i s a
isaalang-alang	q i s a q a l a ng q a l a ng
isabel	q i s a b e l
isadalawatatlo	q i s a d a l a w a t a t l o
isalin	q i s a l i n
isampa	q i s a m p a
isang	q i s a ng
isara	q i s a r a
isarog	q i s a r o g
isauli	q i s a q u l i
isda	q i s d a
isdang	q i s d a ng
isinadlak	q i s i n a d l a k
isinagawang	q i s i n a g a w a ng
isinalaysay	q i s i n a l a y s ay
isinara	q i s i n a r a
isinasailalim	q i s i n a s a q i l a l i m
isinasama	q i s i n a s a m a
isinga	q i s i ng a
isiningit	q i s i n i ng i t
isinuksok	q i s i n u k s o k
isinulat	q i s i n u l a t
isip	q i s i p
isipan	q i s i p a n
isisilbing	q i s i s i l b i ng
iskedyul	q i s k e jh u l
isko	q i s k o
isla	q i s l a
island	q ay l a n
islands	q ay l a n d s
ispiritu	q i s p i r i t o
isport	q i s p o er t
isra	q i s r a
isuko	i s u k o
isulat	q i s u l a t
isuot	i s u q u t
isusulong	i s u s u l o ng
isyu	i sh u
itaas	i t a q a s
itago	i t a g o q
itanim	i t a n i m
itapon	i t a p o n
itataas	i t a t a q a s
itatanong	i t a t a n o ng
itatapon	i t a t a p o n
itatayo	i t a t a y o q
itay	i t ay
itigil	i t i g i l
itiklop	i t i k l o p
itim	i t i m
itinaas	i t i n a q a s
itinadhana	i t i n a d h a n a
itinakdang	i t i n a k d a ng
itinakwil	i t i n a k w i l
itinanghal	i t i n a ng h a l
itinanim	i t i n a n i m
itinapat	i t i n a p a t
itinapon	i t i n a p o n
itinatanim	i t i n a t a n i m
itinusok	i t i n u s o k
itinuturing	i t i n u t u r i ng
itinuturo	i t i n u t u r o
ititigil	i t i t i g i l
itlog	i t l o g
ito	i t o
ito'y	i t oy
itong	i t o ng
ituloy	i t u l oy
ituon	i t o q o n
itutuloy	i t u t u l oy
ivan	i v a n
iwaksi	q i w a k s i
iwas	q i w a s
iwasan	q i w a s a n
iwasang	q i w a s a ng
iyan	q i y a n
iyang	q i y a ng
iyo	q i y o q
iyon	q i y o n
iyong	q i y o ng
iyung	q i y o ng
j	jh
james	jh ey m s
jan	jh a n
jane	jh ey n
janice	jh a n i s
janus	jh a n u s
japan	jh a p a n
jasmin	jh a z m i n
jay	jh ey
jayson	jh ey s o n
jc	jh ey s i
jean	jh i n
jeep	jh e p
jeepney	jh e p n i
jeff	jh e f
jeffrey	jh e f er i
jem	jh e m
jennifer	jh e n e f e r
jess	jh e s
jessa	jh e s a
jestoni	jh i s t ow n i
jesus	h i s u s
jg	jh ey jh i
jillian	jh i ly a n
jinky	jh i n k i
jm	jh m
joan	jh o q a n
joaquin	h u q a k i n
jocelyn	jh o s e ly n
joel	j o w e l
john	jh ao n
jolina	jh o l i n a
jollibee	jh ao l i b i
jonathan	jh o n a th a n
jose	jh o s e
joseph	jh o s e f
josephine	jh o s e f i n
joy	jh oy
jp	jh p
jr	jh er
juan	h u w a n
julian	jh u ly a n
julius	jh u ly u s
juniior	jh u n i q i o r
junior	jh u ny o r
just	jh a s t
ka	k a
kaagad	k a q a g a d
kaakibat	k a q a k i b a t
kaakit-akit	k a q a k i t q a k i t
kaalaman	k a q a l a m a n
kaalipinan	k a q a l i p i n a n
kaalipustaan	k a q a l i p u s t a q a n
kaanak	k a q a n a k
kaarawan	k a q a r a w a n
kaasalan	k a q a s a l a n
kaawa-awa	k a q a w a q a w a
kaawa-awa't	k a q a w a q a w a t
kaaway	k a q a w ay
kababayan	k a b a b a y a n
kababayang	k a b a b a y a ng
kabagay	k a b a g ay
kaban	k a b a n
kabangisan	k a b a ng i s a n
kabarkada	k a b a r k a d a
kabaro	k a b a r o
kabayan	k a b a y a n
kabayo	k a b a y o q
kabihasnan	k a b i h a s n a n
kabihasnang	k a b i h a s n a ng
kabila	k a b i l a
kabilihan	k a b i l i h a n
kabinet	k a b i n e t
kabit	k a b i t
kabubuwal	k a b u b u w a l
kabuhayan	k a b u h a y a n
kabundukan	k a b u n d u k a n
kabute	k a b u t i
kabutihan	k a b u t i h a n
kabutihang	k a b u t i h a ng
kabuuang	k a b u q u q a ng
kada	k a d a
kadalasang	k a d a l a s ang
kadayukdukan	k a d a y u k d u k a n
kagabi	k a g a b i
kagalang-galang	k a g a l a ng q g a l a ng
kagalingan	k a g a l i ng a n
kagalit	k a g a l i t
kagamitan	k a g a m i t a n
kagandahang	k a g a n d a h a ng
kagatin	k a g a t i n
kagawaran	k a g a w a r a n
kagila-gilalas	k a g i l a g i l a l a s
kaginhawaaan	k a g i n h a w a q a q a n
kaginhawaan	k a g i n h a w a q a n
kaginhawahan	k a g i n h a w a h a n
kaginhawahang	k a g i n h a w a h a ng
kagipitan	k a g i p i t a n
kagitna	k a g i t n a
kagubatan	k a g u b a t a n
kagusutan	k a g u s u t a n
kahabaan	k a h a b a q a n
kahandaang	k a h a n d a q a ng
kahanga-hanga	k a h a ng a h a ng g a
kahapon	k a h a p o n
kaharap	k a h a r a p
kaharian	k a h a r i q a n
kaharutan	k a h a r u t a n
kahatulan	k a h a t u l a n
kahawig	k a h a w i g
kahel	k a h e l
kahilingan	k a h i l i ng a n
kahirap	k a h i r a p
kahirapan	k a h i r a p a n
kahit	k a h i t
kahon	k a h o n
kahoy	k a h oy
kahulugan	k a h u l u g a n
kaibigan	k a q i b i g a n
kaiklian	k a q i k l i q a n
kailan	k a q i l a n
kailangan	k a q i l a ng a n
kailangang	k a q i l a ng a ng
kailanman	k ay l a n m a n
kailngan	k ey l ng a n
kain	k a q i n
kaina	k a q i n a
kainan	k a q i n a n
kainang	k a q i n a ng
kainin	k a q i n i n
kaisipan	k a q i s i p a n
kaka	k a k a
kaka-kaka	k a k a k a k a q
kakagatin	k a k a g a t i n
kakain	k a k a q i n
kakainin	k a k a q i n i n
kakambal	k a k a m b a l
kakampi	k a k a m p i
kakanta	k a k a n t a
kakapusan	k a k a p u s a n
kakarekord	k a k a r e k o er d
kakasya	k a k a sh a
kakaunti	k a k a q u n t i
kakayahan	k a k a y a h a n
kaki	k a k i
kakilala	k a k i l a l a
kaklase	k a k l a s i
kakulangan	k a k u l a ng a n
kakulungan	k a k u l u ng a n
kalaban	k a l a b a n
kalabaw	k a l a b aw
kalagayan	k a l a g a y a n
kalaguyo	k a l a g u y o q
kalahati	k a l a h a t i
kalahating	k a l a h a t i ng
kalakal	k a l a k a l
kalakalan	k a l a k a l a n
kalalagayan	k a l a l a g a y a n
kalalakihan	k a l a l a k i h a n
kalamnan	k a l a m n a n
kalang	k a l a ng
kalaro	k a l a r o
kalat	k a l a t
kalaunan	k a l a q u n a n
kalawang	k a l a w a ng
kalayaan	k a l a y a q a n
kalbo	k a l b o
kaldereta	k a l d i r i t a
kalibo	k a l i b o
kalimitang	k a l i m i t a ng
kalimutan	k a l i m u t a n
kalinanga'y	k a l i n a ng a y
kalinawan	k a l i n a w a n
kalinga	k a l i ng a
kalingkingan	k a l i ng k i ng a n
kalipad	k a l i p a d
kalipunan	k a l i p u n a n
kaliwa	k a l i w a
kaliwang	k a l i w a ng
kaloob	k a l o q o b
kalooban	k a l o q o b a n
kalupitan	k a l u p i t a n
kalusan	k a l u s a n
kalusugan	k a l u s u g a n
kalye	k a l y e
kalyeng	k a l y e ng
kamag-anak	k a m a g q a n a k
kamakailan	k a m a k ay l a n
kamakalawa	k a m a k a l a w a
kamakatlo	k a m a k a t l o
kamang	k a m a ng
kamao	k a m a q o
kamatayan	k a m a t a y a n
kamatayang	k a m a t a y a ng
kamatis	k a m a t i s
kamay	k a m a y
kambal	k a m b a l
kambing	k a m b i ng
kami	k a m i
kaming	k a m i ng
kamo	k a m o
kampana	k a m p a n a q
kampante	k a m p a n t e
kampanya	k a m p a ny a
kamulalaan	k a m u l a l a q a n
kanan	k a n a n
kanang	k a n a ng
kandidato	k a n d i d a t o
kang	k a ng
kani	k a n i
kani-kanilang	k a n i q k a n i l a ng
kani-kanino	k a n i q k a n i n o
kani-kaniyang	k a n i q k a n i y a ng
kanila	k a n i l a
kanila'y	k a n i l ay
kanilang	k a n i l a ng
kanin	k a n i n
kanina	k a n i n a
kaninang	k a n i n a ng
kanino	k a n i n o
kaniya	k a n i y a
kaniyang	k a n i y a ng
kanser	k a n s e er
kanto	k a n t o
kanya	k a ny a
kanyang	k a ny a ng
kapag	k a p a g
kapagdaka	k a p a g d a k a q
kapagka	k a p a g k a
kapaitan	k a p a q i t a n
kapaligiran	k a p a l i g i r a n
kapalitan	k a p a l i t a n
kapamilya	k a p a m i ly a
kapanatagan	k a p a n a t a g a n
kapangakuan	k a p a ng a k u q a n
kapangyarihang	k a p a ng a y a r i h a ng
kaparehong	k a p a r e h o ng
kapatagan	k a p a t a g a n
kapatid	k a p a t i d
kapayapaan	k a p a y a p a q a n
kape	k a p e
kapighatian	k a p i g h a t i q a n
kapis	k a p i s
kapisanan	k a p i s a n a n
kapit-bayan	k a p i t b a y a n
kapitalista	k a p i t a l i s t a
kapitbahay	k a p i t b a h ay
kapuluan	k a p u l u q a n
kapuluang	k a p u l u a ng
kapupunan	k a p u p u n a n
kapurihan	k a p u r i h a n
kapuso	k a p u s o q
kaputol	k a p u t o l
kapuwa	k a p w a
kapwa	k a p w a
karagatan	k a r a g a t a n
karagdagan	k a r a g d a g a n
karagdagang	k a r a g d a g a ng
karaingan	k a r a i ng a n
karaka	k a r a k a q
karakaraka	k a r a k a r a k a q
